frequency	voltage
1	18
2	10.4
3	8
5	6.4
10	5.6
20	5.4
50	5.2
100	5
200	5.2
500	5.2
1000	5.2
2000	5
5000	5
10000	4.8
20000	4.4
30000	3.6
40000	2.8
45000	2.4
50000	2
55000	1.6
60000	1.4
65000	1
70000	0.8
73000	0.6
75000	0.4
80000	0.8
85000	1
90000	1.2
95000	1.4
100000	1.6
110000	2
150000	3
200000	4
300000	4.6
500000	5
1000000 5.2
2000000 5.2
3000000 5.2
