frequency	voltage
1.1	17.6
2	10.4
3	8.4
5	6.6
10.32	5.40
15.38	5
20.36	5
50	4.8
100	4.88
200	4.96
300	4.96
500	4.96
1100	4.96
2000	4.96
5000	4.96
10000	4.88
20000	4.64
30000	4.56
35000	4.48
40000	4.16
45000	3.84
50000	3.44
52000	3.20
55000	2.88
57000	2.64
60000	2.16
62000	2.00
64000	1.76
65000	1.52
66000	1.28
67000	1.28
70000	0.80
71000	0.64
72000	0.64
75000	0.64
77000	0.88
80000	1.28
82000	1.52
84000	1.76
85000	1.92
90000	2.4
95000	2.80
100000	3.6
200000	4.64
300000	4.80
500000	4.96
