0.062	0.260
0.095	0.300
0.160	0.460
0.268	0.620
0.330	0.580
0.460	0.800
0.516	0.840
0.600	1.000
0.800	1.20
1.000	1.44
1.384	1.84
1.600	2.10
1.915	2.44
2.300	3.00
3.700	3.84
4.300	4.00
5.500	4.30
7.000	4.48
8.000	4.72
10.00	4.80
12.00	4.96
13.33	3.28
20.45	2.28
35	1.00
42	0.360
50	0.240
60	0.600
70	0.960
85	1.40
100	1.72
120	2.28
150	2.40
161	2.191
171	2.090
181	1.990
191	1.900
200	1.800
210	1.750
220	1.650
230	1.600
241	1.500
250	1.500
260	1.440
270	1.400
280	1.350
350	1
400	0.9
500	0.7
600	0.650
