t1	Temp1	NTemp1	SNTemp1	STemp1	t2	Temp2	NTemp2	SNTemp2	STemp2	t3	Temp3	NTemp3	SNTemp3	STemp3	t4	Temp4	NTemp4	SNTemp4	STemp4	t5	Temp5	NTemp5	SNTemp5	STemp5
0	25.73075519	21665.03856	0	25.73075519	0	29.35896021	22624.60191	0	24.7350071	0	28.57720902	22695.44786	0	24.7350071	0	22.91425111	17778.93829	0	24.7350071	0	26.16985273	20381.8664	0	24.7350071
5	27.39063144	23062.63776	1397.5992	27.39063144	5	31.96665274	24634.14194	2009.54003	27.34269963	5	29.87826965	23728.72419	1033.27633	26.03606773	5	24.01263772	18631.16548	852.227190000001	25.83339371	5	27.94799245	21766.73496	1384.86856	26.51314682
10	31.65736489	26655.18467	4990.14611	31.65736489	10	34.28538269	26421.00161	3796.3997	29.66142958	10	31.40441363	24940.75722	2245.30936	27.56221171	10	30.5317373	23689.26966	5910.33137	32.35249329	10	29.35896021	22865.63898	2483.77258	27.92411458
15	35.24189003	29673.31899	8008.28043	35.24189003	15	36.69938397	28281.27927	5656.67736	32.07543086	15	33.24345438	26401.2866	3705.83874	29.40125246	15	35.35347803	27430.41007	9651.47178	37.17423402	15	31.41617165	24467.85697	4085.99057	29.98132602
20	38.96078866	32804.59444	11139.55588	38.96078866	20	38.66293606	29794.43179	7169.82988	34.03898295	20	35.08222389	27861.60057	5166.15271	31.24002197	20	38.64114174	29981.27547	12202.33718	40.46189773	20	33.20335575	25859.76956	5477.90316	31.76851012
25	41.86325415	35248.44136	13583.4028	41.86325415	25	39.65385865	30558.05655	7933.45464	35.02990554	25	36.93319861	29331.60767	6636.15981	33.09099669	25	42.33543222	32847.63851	15068.70022	44.15618821	25	35.4304429	27594.29185	7212.42545	33.99559727
30	44.94613307	37844.19459	16179.15603	44.94613307	30	40.74228217	31396.81749	8772.21558	36.11832906	30	38.61935253	30670.7174	7975.26954	34.77715061	30	45.04588753	34950.65368	17171.71539	46.86664352	30	37.64088534	29315.85073	8933.98433	36.20603971
35	47.74185586	40198.16522	18533.12666	47.74185586	35	44.88871574	34592.14213	11967.54022	40.26476263	35	40.75504102	32366.83848	9671.39062	36.9128391	35	48.37953269	37537.19562	19758.25733	50.20028868	35	39.45730404	30730.53211	10348.66571	38.02245841
40	50.44177233	42471.46788	20806.42932	50.44177233	40	47.3421579	36482.81372	13858.21181	42.71820479	40	42.60122317	33833.03942	11137.59156	38.75902125	40	51.59906734	40035.20036	22256.26207	53.41982333	40	40.94826405	31891.73649	11509.87009	39.51341842
45	53.00361395	44628.51291	22963.47435	53.00361395	45	50.30854235	38768.7689	16144.16699	45.68458924	45	44.82797507	35601.48124	12906.03338	40.98577315	45	54.33410063	42157.28534	24378.34705	56.15485662	45	43.68913924	34026.41232	13644.54592	42.25429361
50	56.07705645	47216.32076	25551.2822	56.07705645	50	53.89259037	41530.70799	18906.10608	49.26863726	50	46.18957585	36682.83735	13987.38949	42.34737393	50	57.25364126	44422.52772	26643.58943	59.07439725	50	46.17407638	35961.75591	15579.88951	44.73923075
55	58.62484957	49361.53709	27696.49853	58.62484957	55	56.71725429	43707.4505	21082.84859	52.09330118	55	48.98456136	38902.55894	16207.11108	45.14235944	55	60.51855978	46955.74535	29176.80706	62.33931577	55	49.69651997	38705.14065	18323.27425	48.26167434
60	60.88333355	51263.15802	29598.11946	60.88333355	60	60.47061011	46599.86156	23975.25965	55.846657	60	52.11845306	41391.43305	18695.98519	48.27625114	60	62.92158859	48820.23137	31041.29308	64.74234458	60	53.07174251	41333.86522	20951.99882	51.63689688
65	63.15180761	53173.19049	31508.15193	63.15180761	65	63.52036366	48950.06264	26325.46073	58.89641055	65	55.62150771	44173.48899	21478.04113	51.77930579	65	66.01933134	51223.739	33444.80071	67.84008733	65	57.53486833	44809.8815	24428.0151	56.1000227
70	65.74404672	55355.82989	33690.79133	65.74404672	70	67.51399393	52027.634	29403.03209	62.89004082	70	60.04141544	47683.69131	24988.24345	56.19921352	70	68.98013214	53520.99472	35742.05643	70.80088813	70	61.60116296	47976.83375	27594.96735	60.16631733
75	68.55561831	57723.14506	36058.1065	68.55561831	75	70.73793006	54512.06366	31887.46175	66.11397695	75	63.90953161	50755.67181	28060.22395	60.06732969	75	71.53372181	55502.29941	37723.36112	73.3544778	75	65.74663499	51205.45173	30823.58533	64.31178936
80	71.34515471	60071.90682	38406.86826	71.34515471	80	75.57804163	58241.95044	35617.34853	70.95408852	80	68.23747087	54192.83462	31497.38676	64.39526895	80	74.3679395	57701.34058	39922.40229	76.18869549	80	69.73721096	54313.43201	33931.56561	68.30236533
85	74.07147661	62367.44259	40702.40403	74.07147661	85	79.7742419	61475.62629	38851.02438	75.15028879	85	73.05512006	58018.91525	35323.46739	69.21291814	85	76.12357402	59063.51985	41284.58156	77.94433001	85	73.79646323	57474.89946	37093.03306	72.3616176
90	77.20810869	65008.45544	43343.41688	77.20810869	90	85.31857856	65748.20301	43123.6011	80.69462545	90	77.6546314	61671.75516	38976.3073	73.81242948	90	79.09796249	61371.31811	43592.37982	80.91871848	90	78.51009413	61146.01661	40764.15021	77.0752485
95	79.78174451	67175.43106	45510.3925	79.78174451	95	91.7724037	70721.64974	48097.04783	87.14845059	95	82.40808903	65446.85615	42751.40829	78.56588711	95	80.96789753	62822.18202	45043.24373	82.78865352	95	83.58624173	65099.47265	44717.60625	82.1513961
100	83.20842385	70060.6608	48395.62224	83.20842385	100	97.01149316	74758.99686	52134.39495	92.38754005	100	87.66188221	69619.31361	46923.86575	83.81968029	100	83.1671502	64528.56017	46749.62188	84.98790619	100	88.74259979	69115.399	48733.5326	87.30775416
105	86.58635365	72904.84391	51239.80535	86.58635365	105	98.81552687	76149.22132	53524.61941	94.19157376	105	93.36536221	74148.90336	51453.4555	89.52316029	105	85.77309231	66550.48459	48771.5463	87.5938483	105	93.68182096	72962.21262	52580.34622	92.24697533
110	89.28352875	75175.83837	53510.79981	89.28352875	nan	nan	nan	nan	nan	110	97.44434719	77388.35165	54692.90379	93.60214527	110	88.51126541	68675.00572	50896.06743	90.3320214	110	97.9079541	76253.65189	55871.78549	96.47310847
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	115	98.87386705	78523.64774	55828.19988	95.03166513	115	90.8867249	70518.10098	52739.16269	92.70748089	115	99.40344732	77418.38688	57036.52048	97.96860169
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	120	93.40406938	72471.28339	54692.3451	95.22482537	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	125	95.69740636	74250.66062	56471.72233	97.51816235	nan	nan	nan	nan	nan
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	130	97.67536726	75785.3407	58006.40241	99.49612325	nan	nan	nan	nan	nan

