nan	nan	nan	nan	nan	nan	nan	nan	37.5	52.73394303
nan	nan	nan	nan	nan	nan	nan	nan	38	53.04642694
nan	nan	nan	nan	nan	nan	nan	nan	38.5	53.30015403
nan	nan	nan	nan	nan	nan	nan	nan	39	53.52174305
nan	nan	nan	nan	nan	nan	nan	nan	39.5	53.67132861
nan	nan	nan	nan	nan	nan	nan	nan	40	53.91041309
nan	nan	nan	nan	nan	nan	nan	nan	40.5	54.238304
nan	nan	nan	nan	nan	nan	nan	nan	41	54.6246263
nan	nan	nan	nan	nan	nan	nan	nan	41.5	55.05050464
nan	nan	nan	nan	nan	nan	nan	nan	42	55.49039292
nan	nan	nan	nan	nan	nan	nan	nan	42.5	55.80032102
nan	nan	nan	nan	nan	nan	nan	nan	43	55.9942797
nan	nan	nan	nan	nan	nan	nan	nan	43.5	56.20772428
nan	nan	nan	nan	nan	nan	nan	nan	44	56.54121697
nan	nan	nan	nan	nan	nan	nan	nan	44.5	56.86235441
nan	nan	nan	nan	nan	nan	nan	nan	45	57.24089888
nan	nan	nan	nan	nan	nan	nan	nan	45.5	57.6418444
nan	nan	nan	nan	nan	nan	nan	nan	46	57.9599665
nan	nan	nan	nan	nan	nan	nan	nan	46.5	58.24558265
nan	nan	nan	nan	nan	nan	nan	nan	47	58.53519465
nan	nan	nan	nan	nan	nan	nan	nan	47.5	58.56578847
nan	nan	nan	nan	nan	nan	nan	nan	48	58.45443934
nan	nan	nan	nan	nan	nan	nan	nan	48.5	58.43917755
nan	nan	nan	nan	nan	nan	nan	nan	49	58.50025569
nan	nan	nan	nan	nan	nan	nan	nan	49.5	58.68837203
nan	nan	nan	nan	nan	nan	nan	nan	50	58.94997825
nan	nan	nan	nan	nan	nan	nan	nan	50.5	59.27748694
nan	nan	nan	nan	nan	nan	nan	nan	51	59.69702091
nan	nan	nan	nan	nan	nan	nan	nan	51.5	60.14775386
nan	nan	nan	nan	nan	nan	nan	nan	52	60.50713841
nan	nan	nan	nan	nan	nan	nan	nan	52.5	60.6673111
nan	nan	nan	nan	nan	nan	nan	nan	53	60.68565418
nan	nan	nan	nan	nan	nan	nan	nan	53.5	60.83497976
nan	nan	nan	nan	nan	nan	nan	nan	54	61.13750239
nan	nan	nan	nan	nan	nan	nan	nan	54.5	61.44216252
nan	nan	nan	nan	nan	nan	nan	nan	55	61.66211358
nan	nan	nan	nan	nan	nan	nan	nan	55.5	61.97290404
nan	nan	nan	nan	nan	nan	nan	nan	56	62.29788496
nan	nan	nan	nan	nan	nan	nan	nan	56.5	62.6782063
nan	nan	nan	nan	nan	nan	nan	nan	57	62.98931129
nan	nan	nan	nan	nan	nan	nan	nan	57.5	63.19070618
nan	nan	nan	nan	nan	nan	nan	nan	58	63.29298749
nan	nan	nan	nan	nan	nan	nan	nan	58.5	63.24668636
nan	nan	nan	nan	nan	nan	nan	nan	59	63.29786428
nan	nan	nan	nan	nan	nan	nan	nan	59.5	63.43464636
nan	nan	nan	nan	nan	nan	nan	nan	60	63.74898881
nan	nan	nan	nan	nan	nan	nan	nan	60.5	64.15027502
nan	nan	nan	nan	nan	nan	nan	nan	61	64.510279
nan	nan	nan	nan	nan	nan	nan	nan	61.5	64.91148463
nan	nan	nan	nan	nan	nan	nan	nan	62	65.46805297
nan	nan	nan	nan	nan	nan	nan	nan	62.5	65.89963754
nan	nan	nan	nan	nan	nan	nan	nan	63	66.33851413
nan	nan	nan	nan	nan	nan	nan	nan	63.5	66.84337505
nan	nan	nan	nan	nan	nan	nan	nan	64	67.33854126
nan	nan	nan	nan	nan	nan	nan	nan	64.5	67.74461123
nan	nan	nan	nan	nan	nan	nan	nan	65	68.03410392
nan	nan	nan	nan	nan	nan	nan	nan	65.5	68.27054862
nan	nan	nan	nan	nan	nan	nan	nan	66	68.38654063
nan	nan	nan	nan	nan	nan	nan	nan	66.5	68.53062651
nan	nan	nan	nan	nan	nan	nan	nan	67	68.49178204
nan	nan	nan	nan	nan	nan	nan	nan	67.5	68.29813471
nan	nan	nan	nan	nan	nan	nan	nan	68	68.28709795
nan	nan	nan	nan	nan	nan	nan	nan	68.5	68.44466544
nan	nan	nan	nan	nan	nan	nan	nan	69	68.63347273
nan	nan	nan	nan	nan	nan	nan	nan	69.5	68.76729887
nan	nan	nan	nan	nan	nan	nan	nan	70	68.83438413
nan	nan	nan	nan	nan	nan	nan	nan	70.5	68.92120683
nan	nan	nan	nan	nan	nan	nan	nan	71	69.10670132
nan	nan	nan	nan	nan	nan	nan	nan	71.5	69.49458818
nan	nan	nan	nan	nan	nan	nan	nan	72	69.90651813
nan	nan	nan	nan	nan	nan	nan	nan	72.5	70.3752502
nan	nan	nan	nan	nan	nan	nan	nan	73	70.88809747
nan	nan	nan	nan	nan	nan	nan	nan	73.5	71.30934269
nan	nan	nan	nan	nan	nan	nan	nan	74	71.55473144
nan	nan	nan	nan	nan	nan	nan	nan	74.5	71.61783004
nan	nan	nan	nan	nan	nan	nan	nan	75	71.80775639
nan	nan	nan	nan	nan	nan	nan	nan	75.5	72.08073829
nan	nan	nan	nan	nan	nan	nan	nan	76	72.54937145
nan	nan	nan	nan	nan	nan	nan	nan	76.5	73.03638259
nan	nan	nan	nan	nan	nan	nan	nan	77	73.42238163
nan	nan	nan	nan	nan	nan	nan	nan	77.5	73.67876352
nan	nan	nan	nan	nan	nan	nan	nan	78	74.07468639
