0	19.72998264	0	29.19867945	0	23.35625099	0	21.26307802
5	25.08148177	5	29.18702578	5	23.34026582	5	21.309894
10	29.42601087	10	32.05069127	10	23.36351678	10	21.27624596
15	29.87972971	15	38.46697033	15	24.29847836	15	21.34792517
20	33.45600476	20	42.54733565	20	26.69889147	20	22.37557156
25	36.43256939	25	45.87345126	25	29.39685662	25	24.89158543
30	38.70498244	30	47.82141027	30	31.90180723	30	28.42599855
35	41.29114132	35	50.89571978	35	34.61493299	35	31.56908909
40	43.5400313	40	54.2123911	40	37.08323404	40	35.26299347
45	46.17063258	45	57.00790818	45	39.66802769	45	38.87023895
50	48.92863881	50	59.21977714	50	42.35496726	50	41.86001909
55	51.98859897	55	62.06990065	55	45.01374675	55	45.00867332
60	56.02530403	60	63.74405888	60	47.28076659	60	48.39203579
65	58.55704526	65	66.16291177	65	50.01546881	65	51.1635516
70	60.6237773	70	68.22094243	70	52.56973473	70	54.18051697
75	62.97237036	75	71.48574326	75	54.97352996	75	56.80341875
80	66.06365611	80	73.49816382	80	56.67947618	80	59.45329702
85	69.33556787	85	75.92058148	85	57.97291021	85	60.77059186
90	71.47675401	90	79.2898944	90	59.80252904	90	63.1736836
95	73.69782481	95	81.54253046	95	61.25817809	95	66.85933829
100	75.60479279	100	82.91641666	100	62.01782619	100	70.34324165
105	77.6546314	105	84.71006768	105	64.15525359	105	74.02015768
110	78.79005691	110	87.35384982	110	67.47613845	110	76.10661512
115	79.90576404	115	90.01812586	115	70.16332578	115	77.81772369
120	82.07453303	120	91.89399242	120	73.55193578	120	80.71287291
125	84.32862591	125	93.89442017	125	76.03547303	125	85.66665923
130	86.60454126	130	94.79274004	130	79.2898944	130	90.65091717
135	88.7377646	135	96.63869353	135	82.49298113	135	93.78236228
140	91.04654965	140	98.26937977	140	84.98259589	140	96.63869353
145	93.45944086	145	99.88115772	145	87.86404299	145	99.12129318
150	95.73290899	150	100.3046906	150	90.11859937	150	99.87447702
155	97.46924744	155	100.494622	155	92.8606381	155	100.082187
160	98.86089398	160	100.5763447	160	95.75659781	160	100.0889083
165	100.0217542	165	100.3995246	165	98.32679691	165	100.1696674
170	100.2776434	170	100.3385298	170	99.7278304	170	100.216865
175	100.3791809	175	100.2506174	175	100.1494598	175	100.0889083
180	100.4266683	180	100.2371125	180	100.189887	180	100.0553148

