t1	Temp1	NTemp1	SNTemp1	STemp1	t2	Temp2	NTemp2	SNTemp2	STemp2	t3	Temp3	NTemp3	SNTemp3	STemp3	t4	Temp4	NTemp4	SNTemp4	STemp4	t5	Temp5	NTemp5	SNTemp5	STemp5
0	30.78804762	22970.34657	0	30.78804762	0	36.72075753	27682.31027	0	30.78804762	0	43.49536053	34211.71078	0	30.78804762	0	28.05110781	22007.21612	0	30.78804762	0	43.54830677	34201.09821	0	30.78804762
5	35.02954893	26134.84587	3164.4993	35.02954893	5	39.29880825	29625.79959	1943.48932	33.36609834	5	46.43290211	36522.26348	2310.5527	33.7255892	5	31.56026371	24760.28929	2753.07317	34.29720352	0.5	43.96999475	34532.27508	331.176869999999	31.2097356
10	38.36603669	28624.13265	5653.78608	38.36603669	10	41.8341435	31537.08742	3854.77715	35.90143359	10	49.31036494	38785.56064	4573.84986	36.60305203	10	34.8596343	27348.77749	5341.56137	37.59657411	1	44.2787566	34774.76428	573.666069999999	31.51849745
15	41.56619652	31011.7079	8041.36133	41.56619652	15	45.43961991	34255.11186	6572.80159	39.50691	15	52.1969044	41055.99712	6844.28634	39.48959149	15	37.62394167	29517.4872	7510.27108	40.36088148	1.5	44.57380288	35006.48183	805.383619999997	31.81354373
20	44.99514609	33569.97859	10599.63202	44.99514609	20	47.59716317	35881.59743	8199.28716	41.66445326	20	55.08903794	43330.83368	9119.1229	42.38172503	20	40.7215533	31947.68743	9940.47131	43.45849311	2	44.81111251	35192.85532	991.757109999999	32.05085336
25	48.45280346	36149.6676	13179.32103	48.45280346	25	51.38369053	38736.10895	11053.79868	45.45098062	25	57.54982998	45266.39427	11054.68349	44.84251707	25	43.65597673	34249.85998	12242.64386	46.39291654	2.5	45.14070967	35451.70774	1250.60953	32.38045052
30	51.20111774	38200.12992	15229.78335	51.20111774	30	53.86685772	40608.06936	12925.75909	47.93414781	30	60.50257069	47588.902	13377.19122	47.79525778	30	46.70843624	36644.63657	14637.42045	49.44537605	3	45.50263419	35735.94878	1534.85057	32.74237504
35	54.44409749	40619.65225	17649.30568	54.44409749	35	56.60191693	42669.92109	14987.61082	50.66920702	35	63.11294517	49642.11815	15430.40737	50.40563226	35	49.47397398	38814.31155	16807.09543	52.21091379	3.5	45.74675638	35927.67259	1726.57438	32.98649723
40	57.40256297	42826.90418	19856.55761	57.40256297	40	59.60742492	44935.65335	17253.34308	53.67471501	40	65.87885743	51817.6741	17605.96332	53.17154452	40	52.16244775	40923.52676	18916.31064	54.89938756	4	46.01929092	36141.71032	1940.61211	33.25903177
45	60.24753913	44949.48399	21979.13742	60.24753913	45	62.4433899	47073.57391	19391.26364	56.51067999	45	68.68081714	54021.58353	19809.87275	55.97350423	45	55.20889022	43313.58273	21306.36661	57.94583003	4.5	46.09319664	36199.75291	1998.6547	33.33293749
50	62.77201873	46832.94773	23862.60116	62.77201873	50	64.85320477	48890.23695	21207.92668	58.92049486	50	71.40790679	56166.60316	21954.89238	58.70059388	50	57.76410243	45318.24892	23311.0328	60.50104224	5	46.03303429	36152.50381	1951.4056	33.27277514
55	65.49376729	48863.5899	25893.24333	65.49376729	55	68.88197267	51927.36391	24245.05364	62.94926276	55	74.06184894	58254.0879	24042.37712	61.35453603	55	60.27706473	47289.76837	25282.55225	63.01400454	5.5	45.90430703	36051.40657	1850.30836	33.14404788
60	68.22645114	50902.39066	27932.04409	68.22645114	60	70.6938749	53293.28453	25610.97426	64.76116499	60	76.45755871	60138.45738	25926.7466	63.7502458	60	62.97962992	49410.03886	27402.82274	65.71656973	6	46.04506218	36161.95003	1960.85182	33.28480303
65	71.00333001	52974.16445	30003.81788	71.00333001	65	73.38769926	55324.05096	27641.74069	67.45498935	65	78.87776264	62042.09298	27830.3822	66.17044973	65	65.60710446	51471.39773	29464.18161	68.34404427	6.5	46.15858074	36251.10297	2050.00476	33.39832159
70	73.72325499	55003.44608	32033.09951	73.72325499	70	75.94758253	57253.84457	29571.5343	70.01487262	70	81.2912132	63940.41666	29728.70588	68.58390029	70	68.17414955	53485.34729	31478.13117	70.91108936	7	46.54366178	36553.53022	2352.43201	33.78340263
75	76.30041205	56926.21142	33955.86485	76.30041205	75	78.83753777	59432.46623	31750.15596	72.90482786	75	83.89648155	65989.61653	31777.90575	71.18916864	75	70.60298757	55390.86787	33383.65175	73.33992738	7.5	46.90152168	36834.57907	2633.48086	34.14126253
80	78.97301788	58920.18918	35949.84261	78.97301788	80	82.28716527	62033.00241	34350.69214	76.35445536	80	86.51823415	68051.78226	33840.07148	73.81092124	80	73.17087465	57405.478	35398.26188	75.90781446	8	47.32461115	37166.85661	2965.7584	34.564352
85	81.68863482	60946.25667	37975.9101	81.68863482	85	85.34928226	64341.40992	36659.09965	79.41657235	85	89.57451419	70455.72988	36244.0191	76.86720128	85	75.38799879	59144.90057	37137.68445	78.1249386	8.5	47.87804732	37601.50324	3400.40503	35.11778817
90	84.04417093	62703.67505	39733.32848	84.04417093	90	87.11305722	65671.04932	37988.73905	81.18034731	90	92.22924821	72543.83748	38332.1267	79.5219353	90	77.85327548	61079.00874	39071.79262	80.59021529	9	48.37060355	37988.3372	3787.23899	35.6103444
95	86.78236768	64746.58888	41776.24231	86.78236768	95	88.87340457	66998.10477	39315.7945	82.94069466	95	95.66194037	75243.85582	41032.14504	82.95462746	95	80.16646833	62893.80106	40886.58494	82.90340814	9.5	48.68394506	38234.42309	4033.32488	35.92368591
100	89.07297972	66455.56871	43485.22214	89.07297972	100	91.20711599	68757.39646	41075.08619	85.27440608	100	99.04948591	77908.36364	43696.65286	86.342173	100	82.75295846	64923.00603	42915.78991	85.48989827	10	48.69292271	38241.47378	4040.37557	35.93266356
105	91.21750074	68055.55295	45085.20638	91.21750074	105	92.96427097	70082.04531	42399.73504	87.03156106	105	99.94803645	78615.12755	44403.41677	87.24072354	105	84.95221056	66648.40727	44641.19115	87.68915037	10.5	48.68394506	38234.42309	4033.32488	35.92368591
110	93.4262073	69703.42474	46733.07817	93.4262073	110	95.09940656	71691.63863	44009.32836	89.16669665	nan	nan	nan	nan	nan	110	87.08999131	68325.58178	46318.36566	89.82693112	11	48.71267846	38256.98916	4055.89095	35.95241931
115	95.6383167	71353.83532	48383.48875	95.6383167	115	97.28912876	73342.38261	45660.07234	91.35641885	nan	nan	nan	nan	nan	115	89.77318885	70430.65758	48423.44146	92.51012866	11.5	48.81155927	38334.64619	4133.54798	36.05130012
120	97.41946499	72682.71444	49712.36787	97.41946499	120	98.59602262	74327.59761	46645.28734	92.66331271	nan	nan	nan	nan	nan	120	92.46534079	72542.75847	50535.54235	95.2022806	12	49.0098347	38490.36378	4289.26557	36.24957555
125	99.18015673	73996.33134	51025.98477	99.18015673	125	99.83442018	75261.176	47578.86573	93.90171027	nan	nan	nan	nan	nan	125	95.05294166	74572.83485	52565.61873	97.78988147	12.5	49.31218021	38727.81385	4526.71564	36.55192106
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13	49.68372694	39019.61179	4818.51358	36.92346779
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	13.5	49.99708858	39265.71349	5064.61528	37.23682943
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14	50.32517833	39523.38206	5322.28385	37.56491918
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	14.5	50.60691104	39744.64366	5543.54545	37.84665189
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15	51.05850678	40099.30889	5898.21068	38.29824763
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	15.5	51.46293788	40416.9329	6215.83469	38.70267873
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16	51.65778698	40569.95959	6368.86138	38.89752783
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	16.5	51.94284524	40793.83294	6592.73473	39.18258609
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	17	52.35224346	41115.35793	6914.25972	39.59198431
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	17.5	52.73394303	41415.1295	7214.03129	39.97368388
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18	53.04642694	41660.54186	7459.44365	40.28616779
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	18.5	53.30015403	41859.80897	7658.71076	40.53989488
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	19	53.52174305	42033.83612	7832.73791	40.7614839
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	19.5	53.67132861	42151.31464	7950.21643	40.91106946
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20	53.91041309	42339.08203	8137.98382	41.15015394
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	20.5	54.238304	42596.59443	8395.49622	41.47804485
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	21	54.6246263	42899.99651	8698.8983	41.86436715
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	21.5	55.05050464	43234.46432	9033.36611	42.29024549
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22	55.49039292	43579.93498	9378.83677	42.73013377
nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	nan	22.5	55.80032102	43823.34012	9622.24191	43.04006187
