Frequency(Hz)	Vpp(mV)
1	4
2	4.25
5	12
10	32
20	64
30	72
40	73
50	9
60	72
70	80
80	85
90	86
100	90
150	98
200	106
250	112
300	115
400	122.5
500	127.5
600	131
700	134
1000	140
1500	147
2000	150
3000	153
4000	155
5000	156
8000	155
10000	144
12000	148
14000	146
16000	142
18000	136
20000	123.5
