x	y	ex	ey
0.0008	0.29	0.000006	0.02
0.0011	0.38	0.000002	0.02
0.0015	0.53	0.000005	0.02
0.0023	0.88	0.00001	0.02
0.0077	2.64	0.0001	0.02



